PlayerID,Name,Team,Position,Height,Weight,DOB,Age,YrsExp,CapHit
JConnerARI,James Conner,ARI,RB,6-1,233,5/5/1995,29,8,"$8,930,000"
JSmithARI,Jeff Smith,ARI,WR,6-1,195,4/21/1997,27,4,"$1,055,000"
JLuketaARI,Jesse Luketa,ARI,LB,6-3,252,1/15/1999,25,3,"$985,000"
JShimkoARI,Joe Shimko,ARI,LS,6-0,233,9/30/2000,23,R,"$796,666"
JBlountARI,Joey Blount,ARI,SAF,6-1,201,11/16/1998,25,3,"$985,000"
JGainesARI,Jon Gaines,ARI,OG,6-4,303,5/24/1999,25,2,"$978,060"
JWilliamsARI,Jonah Williams,ARI,OT,6-5,312,11/17/1997,26,6,"$6,610,000"
JJonesARI,Justin Jones,ARI,DT,6-3,309,8/28/1996,27,7,"$6,555,000"
KClarkARI,Kei'Trel Clark,ARI,CB,5-10,181,3/19/2001,23,2,"$967,150"
KIsmaelARI,Keith Ismael,ARI,C,6-3,310,7/25/1998,25,4,"$1,105,000"
KBeachumARI,Kelvin Beachum,ARI,OT,6-3,308,6/8/1989,35,13,"$2,577,500"
KTongaARI,Khyiris Tonga,ARI,DT,6-4,338,7/7/1996,28,4,"$1,690,000"
KBarnesARI,Krys Barnes,ARI,LB,6-2,229,4/2/1998,26,5,"$1,148,529"
KMurrayARI,Kyler Murray,ARI,QB,5-10,207,8/7/1997,26,6,"$49,118,177"
KWhiteARI,Kyzir White,ARI,OLB,6-2,234,3/24/1996,28,7,"$6,750,000"
LCollierARI,L.J. Collier,ARI,DE,6-3,291,9/12/1995,28,6,"$1,018,382"
MWilsonARI,Mack Wilson,ARI,LB,6-1,246,2/14/1998,26,6,"$3,416,666"
MWilsonARI,Michael Wilson,ARI,WR,6-2,213,2/23/2000,24,2,"$1,213,514"
MBaileyARI,Markus Bailey,ARI,LB,6-1,235,3/7/1997,27,5,"$985,000"
MHayesARI,Marquis Hayes,ARI,OG,6-5,318,2/14/1999,25,2,"$795,000"
MHarrisonARI,Marvin Harrison Jr.,ARI,WR,6-4,205,8/11/2002,21,R,"$6,431,771"
MPraterARI,Matt Prater,ARI,K,5-10,201,8/10/1984,39,18,"$4,750,000"
MMeltonARI,Max Melton,ARI,CB,5-11,193,4/15/2002,22,R,"$1,616,056"
MCarterARI,Michael Carter,ARI,RB,5-8,201,5/7/1999,25,4,"$3,116,000"
MOjemudiaARI,Michael Ojemudia,ARI,CB,6-1,200,9/12/1997,26,4,"$1,055,000"
MMurphyARI,Myles Murphy,ARI,DL,6-4,312,—,22,R,"$808,333"
NJonesARI,Naquan Jones,ARI,DT,6-3,313,2/5/1998,26,4,"$1,055,000"
OPappoeARI,Owen Pappoe,ARI,LB,6-0,225,9/29/2000,23,2,"$976,245"
PJohnsonARI,Paris Johnson Jr.,ARI,OT,6-6,313,7/3/2001,23,2,"$6,375,559"
PHoskinsARI,Phil Hoskins,ARI,DT,6-5,315,1/2/1997,27,3,"$1,055,000"
RLopezARI,Roy Lopez,ARI,DT,6-2,318,8/7/1997,26,4,"$1,055,000"
SMurphy-BuntingARI,Sean Murphy-Bunting,ARI,CB,6-0,195,6/19/1997,27,6,"$5,955,000"
SThomasARI,Starling Thomas V,ARI,CB,5-10,194,1/25/2000,24,2,"$915,000"
TPalmerARI,Tejhaun Palmer,ARI,WR,6-2,210,5/19/2000,24,R,"$841,307"
TReimanARI,Tip Reiman,ARI,TE,6-4,273,9/17/2001,22,R,"$1,052,711"
TJonesARI,Tony Jones,ARI,RB,5-11,224,11/24/1997,26,4,"$1,055,000"
TVokolekARI,Travis Vokolek,ARI,TE,6-6,260,6/4/1998,26,1,"$915,000"
TNowaskeARI,Trevor Nowaske,ARI,LB,6-3,235,11/7/1998,25,2,"$915,000"
TBensonARI,Trey Benson,ARI,RB,6-1,221,7/23/2002,21,R,"$795,000"
TMcBrideARI,Trey McBride,ARI,TE,6-4,246,11/22/1999,24,3,"$1,718,089"
TMaddox-WilliamsARI,Tyreek Maddox-Williams,ARI,LB,6-0,228,10/28/1997,26,1,"$915,000"
TSmithARI,Tyreke Smith,ARI,LB,6-3,255,2/14/2000,24,3,"$915,000"
VMcKinleyARI,Verone McKinley,ARI,SAF,5-10,195,6/29/1999,25,2,"$915,000"
VDimukejeARI,Victor Dimukeje,ARI,LB,6-2,262,11/18/1999,24,4,"$1,095,465"
WHernandezARI,Will Hernandez,ARI,OG,6-3,332,9/2/1995,28,7,"$5,325,000"
XThomasARI,Xavier Thomas,ARI,LB,6-2,245,12/20/1999,24,R,"$888,223"
XWeaverARI,Xavier Weaver,ARI,WR,6-1,180,10/12/2000,23,R,"$805,000"
ZPascalARI,Zach Pascal,ARI,WR,6-2,215,12/18/1994,29,7,"$2,670,000"
ZCollinsARI,Zaven Collins,ARI,LB,6-4,260,5/19/1999,25,4,"$4,674,172"
ZJonesARI,Zay Jones,ARI,WR,6-2,200,3/30/1995,29,8,"$2,090,000"
ATerrellATL,A.J. Terrell,ATL,CB,6-1,195,9/23/1998,25,5,"$12,344,000"
AStueberATL,Andrew Stueber,ATL,OT,6-7,318,7/1/1999,25,2,"$795,000"
AJohnsonATL,Anthony Johnson,ATL,CB,6-2,205,6/12/1999,25,1,"$795,000"
AHamiltonATL,Antonio Hamilton,ATL,CB,6-0,188,1/24/1993,31,9,"$1,152,500"
AEbiketieATL,Arnold Ebiketie,ATL,LB,6-3,256,1/23/1999,25,3,"$2,405,098"
ATarpleyATL,Arnold Tarpley III,ATL,SAF,6-1,203,6/18/1996,28,1,"$795,000"
AMackATL,Austin Mack,ATL,WR,6-2,215,8/31/1997,26,2,"$927,000"
AStognerATL,Austin Stogner,ATL,TE,6-6,258,1/12/2000,24,R,"$797,333"
AWilliamsATL,Avery Williams,ATL,RB,5-9,195,7/15/1998,26,4,"$1,115,038"
BWesleyATL,Barry Wesley,ATL,OL,6-7,310,7/14/1999,25,1,"$795,000"
BRobinsonATL,Bijan Robinson,ATL,RB,5-11,215,1/30/2002,22,2,"$4,990,578"
BAnaeATL,Bradlee Anae,ATL,OL,6-3,260,1/17/1998,26,4,"$985,000"
BPinionATL,Bradley Pinion,ATL,P,6-5,229,6/1/1994,30,10,"$3,000,000"
BTriceATL,Bralen Trice,ATL,LB,6-3,245,2/26/2001,23,R,"$1,078,134"
BDorlusATL,Brandon Dorlus,ATL,DE,6-3,290,3/22/2001,23,R,"$1,000,599"
CWashingtonATL,Carlos Washington Jr.,ATL,RB,5-11,220,12/26/1998,25,1,"$795,000"
CWashingtonATL,Casey Washington,ATL,WR,6-0,200,3/6/2001,23,R,"$843,399"
CWoernerATL,Charlie Woerner,ATL,TE,6-5,241,10/16/1997,26,5,"$2,500,000"
CBlairATL,Chris Blair,ATL,WR,6-2,198,10/6/1997,26,1,"$795,000"
CLindstromATL,Chris Lindstrom,ATL,OG,6-3,307,2/8/1997,27,6,"$18,000,000"
CPhillipsATL,Clark Phillips III,ATL,CB,5-10,183,12/19/2001,22,2,"$1,108,383"
DCruikshankATL,Dane Cruikshank,ATL,DB,6-1,209,4/27/1995,29,6,"$985,000"
DMooneyATL,Darnell Mooney,ATL,WR,5-11,177,10/29/1997,26,5,"$7,450,000"
DOnyemataATL,David Onyemata,ATL,DT,6-3,300,11/8/1992,31,9,"$12,500,000"
DBaldwinATL,Daylen Baldwin,ATL,WR,6-2,212,11/24/1999,24,1,"$795,000"
DMaloneATL,DeAngelo Malone,ATL,LB,6-4,240,7/12/1999,25,3,"$1,426,249"
DHellamsATL,DeMarcco Hellams,ATL,SAF,6-1,213,6/5/2000,24,2,"$941,575"
DAlfordATL,Dee Alford,ATL,DB,5-11,175,11/5/1997,26,3,"$988,500"
DHarrisATL,Demone Harris,ATL,DE,6-4,272,12/30/1995,28,4,"$985,000"
DMutinATL,Donavan Mutin,ATL,LB,6-0,227,9/22/2000,23,1,"$795,000"
DLondonATL,Drake London,ATL,WR,6-4,213,7/24/2001,22,3,"$5,873,038"
DDalmanATL,Drew Dalman,ATL,C,6-3,300,10/15/1998,25,4,"$3,310,181"
DDrummondATL,Dylan Drummond,ATL,WR,6-0,186,1/17/2000,24,1,"$795,000"
EGoldmanATL,Eddie Goldman,ATL,NT,6-3,325,1/6/1994,30,7,"$985,000"
GJarrettATL,Grady Jarrett,ATL,DT,6-0,305,4/28/1993,31,10,"$20,375,000"
HHandATL,Harrison Hand,ATL,CB,5-11,185,11/12/1998,25,3,"$1,055,000"
IWoodenATL,Isaiah Wooden,ATL,WR,5-9,170,—,22,R,"$800,000"
JBertrandATL,J.D. Bertrand,ATL,LB,6-1,235,5/5/2000,24,R,"$882,506"
JMatthewsATL,Jake Matthews,ATL,OT,6-5,309,2/11/1992,32,11,"$21,773,713"
JSmith-WilliamsATL,James Smith-Williams,ATL,DE,6-4,265,7/30/1997,26,5,"$1,152,500"
JJones-SmithATL,Jaryd Jones-Smith,ATL,OT,6-7,320,9/3/1995,28,1,"$985,000"
JMcClellanATL,Jase McClellan,ATL,RB,5-11,212,6/25/2002,22,R,"$843,592"
JPriceATL,Jayden Price,ATL,CB,6-0,184,—,22,R,"$798,333"
JBatesATL,Jessie Bates III,ATL,FS,6-1,200,2/26/1997,27,7,"$17,500,000"
JFitzPatrickATL,John FitzPatrick,ATL,TE,6-7,250,3/9/2000,24,3,"$1,018,003"
JLeglueATL,John Leglue,ATL,OG,6-7,310,4/17/1996,28,2,"$915,000"
JPaddockATL,John Paddock,ATL,QB,6-0,190,3/27/2000,24,R,"$796,666"
JAliATL,Josh Ali,ATL,WR,6-0,200,3/3/1999,25,2,"$915,000"
JGwynATL,Jovaughn Gwyn,ATL,OG,6-2,301,3/18/1999,25,2,"$941,457"
KEllissATL,Kaden Elliss,ATL,LB,6-3,238,6/10/1995,29,6,"$8,500,000"
KMcGaryATL,Kaleb McGary,ATL,OT,6-6,306,2/22/1995,29,5,"$12,500,000"
KOginniATL,Kehinde Oginni,ATL,DL,6-6,232,3/3/1999,25,1,"$795,000"
KStreetATL,Kentavius Street,ATL,DE,6-2,287,5/8/1996,28,6,"$1,685,000"
KKingATL,Kevin King,ATL,CB,6-3,200,5/5/1995,29,6,"$985,000"
KHodgeATL,KhaDarel Hodge,ATL,WR,6-2,208,1/3/1995,29,5,"$1,152,500"
KCousinsATL,Kirk Cousins,ATL,QB,6-3,205,8/19/1988,35,13,"$25,000,000"
KHintonATL,Kyle Hinton,ATL,OG,6-2,295,2/27/1998,26,2,"$1,035,000"
KPittsATL,Kyle Pitts,ATL,TE,6-6,245,10/6/2000,23,4,"$10,471,522"
LLondonATL,Lacale London,ATL,DE,6-3,297,8/5/1997,26,2,"$915,000"
LMcCulloughATL,Liam McCullough,ATL,LS,6-2,247,6/5/1997,27,3,"$985,000"
LCarterATL,Lorenzo Carter,ATL,LB,6-5,252,12/10/1995,28,7,"$4,750,000"
LDenisATL,Lukas Denis,ATL,DB,5-11,190,4/13/1997,27,1,"$795,000"
MBergeronATL,Matthew Bergeron,ATL,OG,6-5,323,2/26/2000,24,2,"$2,040,564"
MAbernathyATL,Micah Abernathy,ATL,DB,6-0,196,2/10/1997,27,2,"$985,000"
MPenixATL,Michael Penix Jr.,ATL,QB,6-2,216,5/8/2000,24,R,"$4,160,479"
MHughesATL,Mike Hughes,ATL,CB,5-10,189,2/11/1997,27,7,"$3,845,000"
MEiflerATL,Milo Eifler,ATL,LB,6-1,228,2/13/1998,26,2,"$985,000"
NLandmanATL,Nate Landman,ATL,LB,6-3,235,11/19/1998,25,3,"$985,000"
NBrooksATL,Natrone Brooks,ATL,DB,5-11,176,12/17/1999,24,1,"$795,000"
OHiliareATL,Odieu Hiliare,ATL,WR,6-0,185,—,22,R,"$795,000"
PEmiliATL,Prince Emili,ATL,DT,6-2,300,9/18/1998,25,1,"$802,500"
RMcCloudATL,Ray-Ray McCloud,ATL,WR,5-9,190,10/15/1996,27,7,"$1,805,000"
RGrantATL,Richie Grant,ATL,SAF,6-0,200,11/9/1997,26,4,"$3,959,341"
RBurnsATL,Robert Burns,ATL,RB,5-11,222,9/25/1998,25,1,"$795,000"
RMooreATL,Rondale Moore,ATL,WR,5-7,180,6/9/2000,24,4,"$1,604,217"
RDwelleyATL,Ross Dwelley,ATL,TE,6-5,235,1/26/1995,29,7,"$1,134,500"
ROrhorhoroATL,Ruke Orhorhoro,ATL,DT,6-4,294,10/13/2001,22,R,"$1,802,932"
RCollATL,Ryan Coll,ATL,OT,6-5,324,2/21/2001,23,R,"$797,666"
RSanbornATL,Ryan Sanborn,ATL,P,6-3,211,—,22,R,"$795,500"
SNortonATL,Storm Norton,ATL,OT,6-7,317,5/16/1994,30,5,"$1,152,500"
TGrahamATL,Ta'Quon Graham,ATL,DT,6-4,294,12/1/1998,25,4,"$1,142,653"
THeinickeATL,Taylor Heinicke,ATL,QB,6-1,210,3/15/1993,31,10,"$4,530,000"
TTogiaiATL,Tommy Togiai,ATL,DT,6-2,296,9/19/1999,24,3,"$1,055,000"
TVavalATL,Trey Vaval,ATL,CB,6-0,170,—,22,R,"$800,000"
TAndersenATL,Troy Andersen,ATL,LB,6-4,235,4/23/1999,25,3,"$1,664,611"
TAllgeierATL,Tyler Allgeier,ATL,RB,5-11,220,4/15/2000,24,3,"$1,068,472"
TVrabelATL,Tyler Vrabel,ATL,OT,6-6,315,6/24/2000,24,1,"$915,000"
YKooATL,Younghoe Koo,ATL,K,5-9,185,8/3/1994,29,7,"$5,250,000"
ZHarrisonATL,Zach Harrison,ATL,DE,6-6,272,8/14/2001,22,2,"$1,265,556"
ZLogueATL,Zion Logue,ATL,DT,6-6,314,7/13/2001,23,R,"$840,358"
AIsaacBAL,Adisa Isaac,BAL,LB,6-4,254,10/4/2001,22,R,"$1,026,915"
AVorheesBAL,Andrew Vorhees,BAL,OG,6-6,310,1/21/1999,25,1,"$820,528"
AWashingtonBAL,Ar'Darius Washington,BAL,SAF,5-8,176,11/2/1999,24,3,"$985,000"
AMauletBAL,Arthur Maulet,BAL,CB,5-9,190,7/13/1993,31,8,"$1,500,000"
BBradeBAL,Beau Brade,BAL,DB,6-0,203,1/29/2002,22,R,"$803,333"
BClevelandBAL,Ben Cleveland,BAL,OG,6-6,370,8/25/1998,25,4,"$1,500,460"
BStephensBAL,Brandon Stephens,BAL,CB,6-1,215,12/29/1997,26,4,"$3,326,154"
BUrbanBAL,Brent Urban,BAL,DE,6-7,309,5/5/1991,33,11,"$1,152,500"
BWashingtonBAL,Broderick Washington,BAL,DT,6-2,314,12/4/1996,27,5,"$4,540,000"
CRavenellBAL,C.J. Ravenell,BAL,DE,6-5,280,—,22,R,"$795,000"
CKolarBAL,Charlie Kolar,BAL,TE,6-6,257,2/10/1999,25,3,"$1,161,220"
CBoardBAL,Chris Board,BAL,LB,6-2,229,7/23/1995,28,7,"$1,152,500"
CCollierBAL,Chris Collier,BAL,RB,5-11,203,3/24/2000,24,R,"$796,666"
CMatthewBAL,Christian Matthew,BAL,CB,6-2,195,10/26/1996,27,3,"$985,000"
CBullockBAL,Corey Bullock,BAL,OG,6-3,307,12/9/2001,22,R,"$796,166"
DWilliamsBAL,Damarion Williams,BAL,CB,5-10,180,7/15/1998,26,3,"$1,111,084"
DFaaleleBAL,Daniel Faalele,BAL,OT,6-8,380,11/9/1999,24,3,"$1,185,085"
DSimpsonBAL,Darrell Simpson,BAL,OT,6-6,335,8/12/1999,24,R,"$796,666"
DDalcourtBAL,Darrian Dalcourt,BAL,OG,6-3,309,9/17/2000,23,R,"$796,333"
DOjaboBAL,David Ojabo,BAL,LB,6-4,265,5/17/2000,24,3,"$2,157,034"
DWadeBAL,Dayton Wade,BAL,WR,5-9,175,9/8/2000,23,R,"$803,333"
DSenatBAL,Deadrin Senat,BAL,DT,6-0,314,7/22/1994,29,6,"$985,000"
DJenningsBAL,Deion Jennings,BAL,LB,6-0,225,6/19/2000,24,R,"$795,666"
DHartyBAL,Deonte Harty,BAL,WR,5-6,170,12/4/1997,26,6,"$1,152,500"
DHenryBAL,Derrick Henry,BAL,RB,6-3,247,1/4/1994,30,9,"$5,105,000"
DLearyBAL,Devin Leary,BAL,QB,6-1,215,9/10/1999,24,R,"$829,597"
DWalkerBAL,Devontez Walker,BAL,WR,6-1,191,6/19/2001,23,R,"$994,463"
EJonesBAL,Emory Jones,BAL,QB,6-2,210,4/29/2000,24,R,"$795,000"
ILikelyBAL,Isaiah Likely,BAL,TE,6-4,241,4/18/2000,24,3,"$1,111,084"
IWashingtonBAL,Isaiah Washington,BAL,WR,6-2,206,5/4/2001,23,R,"$796,666"
JArmour-DavisBAL,Jalyn Armour-Davis,BAL,CB,6-1,197,9/3/1999,24,3,"$1,175,081"
JEvansBAL,Joe Evans,BAL,LB,6-1,246,6/29/1999,25,R,"$795,333"
JStoutBAL,Jordan Stout,BAL,P,6-3,207,8/4/1998,25,3,"$1,159,458"
JTolesBAL,Jordan Toles,BAL,DB,6-1,216,5/14/2001,23,R,"$795,666"
JJohnsonBAL,Josh Johnson,BAL,QB,6-3,214,5/15/1986,38,10,"$1,152,500"
JJonesBAL,Josh Jones,BAL,OT,6-5,319,6/22/1997,27,5,"$1,790,000"
JRossBAL,Josh Ross,BAL,LB,6-0,229,10/31/1999,24,2,"$915,000"
JTupouBAL,Josh Tupou,BAL,DT,6-3,350,5/2/1994,30,7,"$985,000"
JPearlBAL,Julian Pearl,BAL,OT,6-6,315,10/6/1999,24,R,"$796,666"
JHillBAL,Justice Hill,BAL,RB,5-10,197,11/14/1997,26,6,"$2,970,588"
JMadubuikeBAL,Justin Madubuike,BAL,DT,6-3,305,11/17/1997,26,5,"$11,000,000"
JTuckerBAL,Justin Tucker,BAL,K,6-1,188,11/21/1989,34,13,"$5,800,000"
KHollmanBAL,Ka'dar Hollman,BAL,CB,6-0,196,9/18/1994,29,4,"$1,055,000"
KKirkwoodBAL,Keith Kirkwood,BAL,WR,6-3,210,12/26/1994,29,5,"$985,000"
KHamiltonBAL,Kyle Hamilton,BAL,SAF,6-4,220,3/16/2001,23,3,"$4,433,206"
KVanBAL,Kyle Van Noy,BAL,MLB,6-3,244,3/26/1991,33,11,"$3,625,000"
LJacksonBAL,Lamar Jackson,BAL,QB,6-2,215,1/7/1997,27,7,"$32,400,000"
MCunninghamBAL,Malik Cunningham,BAL,WR,6-1,198,10/6/1998,25,2,"$915,000"
MHammBAL,Malik Hamm,BAL,LB,6-3,250,8/26/2000,23,2,"$795,666"
MHarrisonBAL,Malik Harrison,BAL,LB,6-3,259,3/5/1998,26,5,"$1,292,500"
MWilliamsBAL,Marcus Williams,BAL,FS,6-1,207,9/8/1996,27,8,"$18,027,918"
MAndrewsBAL,Mark Andrews,BAL,TE,6-5,247,9/6/1995,28,7,"$16,907,611"
MHumphreyBAL,Marlon Humphrey,BAL,CB,6-0,201,7/8/1996,28,8,"$22,877,800"
MPierceBAL,Michael Pierce,BAL,DT,6-0,355,11/6/1992,31,8,"$4,072,000"
MRigermanBAL,Mike Rigerman,BAL,TE,6-2,244,6/29/2001,23,R,"$795,333"
NWigginsBAL,Nate Wiggins,BAL,CB,6-1,182,8/28/2003,20,R,"$2,330,877"
NAgholorBAL,Nelson Agholor,BAL,WR,6-0,200,5/24/1993,31,10,"$2,135,000"
NMooreBAL,Nick Moore,BAL,LS,6-2,260,12/9/1992,31,3,"$1,455,000"
NSamacBAL,Nick Samac,BAL,C,6-4,307,8/21/2001,22,R,"$822,461"
OOwehBAL,Odafe Oweh,BAL,LB,6-5,257,12/15/1998,25,4,"$3,608,942"
OWrightBAL,Owen Wright,BAL,RB,5-9,217,2/28/1999,25,1,"$795,000"
PMekariBAL,Patrick Mekari,BAL,OT,6-4,305,8/13/1997,26,6,"$6,350,000"
PRicardBAL,Patrick Ricard,BAL,FB,6-3,305,5/27/1994,30,8,"$5,155,000"
QIsmailBAL,Qadir Ismail,BAL,WR,6-6,215,2/17/2000,24,R,"$795,000"
RPlattnerBAL,Randen Plattner,BAL,LS,6-2,244,12/8/1999,24,R,"$796,666"
RAliBAL,Rasheen Ali,BAL,RB,5-11,197,2/16/2001,23,R,"$867,467"
RBatemanBAL,Rashod Bateman,BAL,WR,6-1,197,11/29/1999,24,4,"$3,834,135"
RNicholsBAL,Rayshad Nichols,BAL,DT,6-2,305,7/9/1999,25,1,"$795,000"
RSharpBAL,Riley Sharp,BAL,TE,6-5,237,11/7/1997,26,R,"$795,833"
RRosengartenBAL,Roger Rosengarten,BAL,OL,6-5,310,6/3/2002,22,R,"$1,170,421"
RStanleyBAL,Ronnie Stanley,BAL,OT,6-6,315,3/18/1994,30,9,"$17,050,603"
RSmithBAL,Roquan Smith,BAL,ILB,6-1,236,4/8/1997,27,7,"$13,500,000"
RCooperBAL,Ryan Cooper,BAL,DB,5-11,186,—,22,R,"$798,333"
SKaneBAL,Sanoussi Kane,BAL,SAF,5-11,207,10/6/2001,22,R,"$815,733"
SWashingtonBAL,Scotty Washington,BAL,TE,6-5,217,7/26/1997,26,1,"$795,000"
SRyanBAL,Sean Ryan,BAL,WR,6-3,200,1/21/1999,25,1,"$795,000"
TManningBAL,Tashawn Manning,BAL,OL,6-3,340,5/23/1998,26,1,"$795,000"
TRobinsonBAL,Tavius Robinson,BAL,LB,6-6,258,1/3/1999,25,2,"$1,095,141"
TWalthourBAL,Tramel Walthour,BAL,DL,6-3,273,7/26/2000,23,R,"$797,166"
TJonesBAL,Travis Jones,BAL,DT,6-4,338,10/15/1999,24,3,"$1,447,271"
TMullenBAL,Trayvon Mullen,BAL,CB,6-2,190,9/20/1997,26,5,"$985,000"
TSwillingBAL,Tre Swilling,BAL,CB,6-1,196,3/26/1999,25,1,"$795,000"
TSimpsonBAL,Trenton Simpson,BAL,LB,6-2,238,6/14/2001,23,2,"$1,228,296"
TDossBAL,Tykeem Doss,BAL,OG,6-5,380,9/25/1999,24,1,"$795,000"
TWallaceBAL,Tylan Wallace,BAL,WR,5-11,198,5/13/1999,25,4,"$1,226,339"
TLinderbaumBAL,Tyler Linderbaum,BAL,C,6-2,305,4/7/2000,24,3,"$3,610,444"
YRigbyBAL,Yvandy Rigby,BAL,LB,6-1,239,12/31/1999,24,R,"$803,333"
ZFlowersBAL,Zay Flowers,BAL,WR,5-9,182,9/11/2000,23,2,"$3,190,100"
AEpenesaBUF,A.J. Epenesa,BUF,DE,6-6,260,9/15/1998,25,5,"$3,960,000"
AAndersonBUF,Alec Anderson,BUF,OT,6-5,305,10/3/1999,24,2,"$919,250"
AIsabellaBUF,Andy Isabella,BUF,WR,5-9,188,11/18/1996,27,5,"$993,000"
AJohnsonBUF,Austin Johnson,BUF,NT,6-4,314,5/8/1994,30,8,"$2,276,666"
BSpectorBUF,Baylon Spector,BUF,LB,6-0,233,10/20/1998,25,3,"$1,010,932"
BDeenBUF,Branson Deen,BUF,DT,6-2,280,—,22,R,"$798,333"
BThompsonBUF,Bryan Thompson,BUF,WR,6-1,195,4/7/1999,25,1,"$799,500"
CLewisBUF,Cameron Lewis,BUF,CB,5-9,183,4/13/1997,27,5,"$1,481,500"
CToohillBUF,Casey Toohill,BUF,DE,6-5,254,8/21/1996,27,5,"$1,015,000"
CClaypoolBUF,Chase Claypool,BUF,WR,6-4,238,7/7/1998,26,5,"$1,085,000"
CBenfordBUF,Christian Benford,BUF,CB,6-1,205,9/21/2000,23,3,"$1,033,570"
CBishopBUF,Cole Bishop,BUF,SAF,6-2,207,10/24/2002,21,R,"$1,190,545"
CMcGovernBUF,Connor McGovern,BUF,OG,6-5,318,11/3/1997,26,6,"$4,160,000"
CSamuelBUF,Curtis Samuel,BUF,WR,5-11,195,8/11/1996,27,8,"$3,405,000"
DJonesBUF,DaQuan Jones,BUF,DE,6-4,320,12/27/1991,32,11,"$4,500,000"
DJonesBUF,Deion Jones,BUF,LB,6-1,222,11/4/1994,29,9,"$985,000"
